name,number,@name,followers,er,country,domain,potential_reach
Black Jaguar (   ),928,"Black Jaguar ( محمد مزوزي )
 @blackjaguar.officiel",196K,3.18%,Morocco,"Entertainment and Music,  , Music",58.8K
Hajar Mrabet |,929,"Hajar Mrabet |هجرالمرابط
 @hajarmrabet_officiel",196K,2.4%,Morocco,Beauty and Self Care,58.8K
Marocrire,930,"Marocrire®
 @marocrire",195.9K,0.78%,Morocco,Celebrity,58.8K
_,931,"🇲🇦تيتيزة_مغربية🇲🇦
 @titiza_maghribia_",195.7K,0.2%,Morocco,,58.7K
ILHAM TAOUIL,932,"ILHAM TAOUIL
 @ilhame.taouil",195.3K,0.12%,Morocco,"Fashion and Accessories,  , Modeling",58.6K
Lmentalist | ,933,"Lmentalist | المونتاليست
 @lmentalist",194.9K,3.49%,Morocco,"Fashion,  , Coaching,  , Training",58.5K
moroccan style,934,"moroccan style💕
 @maroccan_stylee",194.7K,0.33%,Morocco,Fashion and Accessories,58.4K
,935,"༺هن̷د̷ِ༻🕯
 @hind_salim1",194.5K,2.04%,Morocco,,58.4K
MAJDA SAKHO,936,"MAJDA SAKHO
 @majdasakho",194.4K,6.23%,Morocco,"Beauty and Self Care,  , Modeling,  , Lifestyle",58.3K
ELPATRON ,937,"ELPATRON 🇲🇦
 @elpatron.officiel",194.3K,10.17%,Morocco,Entertainment and Music,58.3K
MOHAMED EL MARNISSI,938,"MOHAMED EL MARNISSI
 @mohamed.elmarnissi",194.3K,16.69%,Morocco,"Auto and Vehicles,  , Sports,  , Education,  , Cars",58.3K
 200K ,939,"🔝 200K🔝 🔝
 @morocco__official2",193.9K,-,Morocco,,58.2K
Top Commentaire Marocain,940,"Top Commentaire Marocain
 @topcommentairemarocain1",193.8K,2.4%,Morocco,,58.1K
Zahira Nbh,941,"Zahira Nbh
 @zahiranbh",193.6K,0.45%,Morocco,,58.1K
Mohd Mroweh,942,"Mohd Mroweh
 @mohdmroweh",193.6K,0.02%,Morocco,"Travel,  , Photography,  , Entrepreneur",58.1K
 ,943,"👑الواقع المضحك👑
 @lwaqi3_funny",193.4K,0.5%,Morocco,,58K
 ,944,"دار التاويل
 @dar.tawil",193.1K,1%,Morocco,Home and Garden,57.9K
,945,"🇲🇦ＭＪＩＮＩＮＡ🇲🇦
 @karima_samari_officiel_",193K,1.5%,Morocco,"Product Showcase,  , Product Education",57.9K
TikTok ,946,"TikTok 🇲🇦🇹🇳🇩🇿
 @king.dz.16",192.8K,0.7%,Morocco,,57.8K
BADI AOUK |   ,947,"BADI AOUK | بديع أوك ⵣ
 @badi_aouk17",191.7K,9.1%,Morocco,,57.5K
,948,@reine_dun_beldi,191.4K,0.1%,Morocco,,57.4K
Roudani ,949,"Roudani ◾الروداني
 @simo.bimari",191.4K,3.03%,Morocco,"Entertainment and Music,  , Celebrity",57.4K
Anne Roumanoff,950,"Anne Roumanoff
 @anneroumanoff",191.3K,0.34%,Morocco,Art,57.4K
Best of Morocco ,951,"Best of Morocco 🇲🇦
 @bonsplans.maroc",191.3K,0.1%,Morocco,,57.4K
Adam hamrita,952,"Adam hamrita
 @hamritox",191K,17.37%,Morocco,"Entertainment and Music,  , Music",57.3K
maroc show officiel ,953,"maroc show officiel 🇲🇦
 @maroc_show",190.8K,1.54%,Morocco,,57.2K
LA SUPERBE ,954,"LA SUPERBE 👑
 @oumaima.kandissi",190.6K,3.96%,Morocco,,57.2K
Safae.safushy,955,"Safae.safushy
 @safae.safushy",190.5K,1.05%,Morocco,Entertainment and Music,57.1K
  ,956,"لنكتشف معاً 🔎
 @lnktshfm3n",190.1K,1.4%,Morocco,,57K
Naciri Mohamed -  ,957,"Naciri Mohamed - ناصري محمد
 @nacirimohamedofficiel",189.9K,0.81%,Morocco,,57K
 ,958,"سيدة الدار
 @saidatdar",189.9K,0.3%,Morocco,Food,57K
Soufianovic_(official),959,"Soufianovic_💯(official)💪
 @soufianovic_",189.8K,0.5%,Morocco,"Fitness and Health,  , Training,  , Coaching",56.9K
Artist_henna_loubna,960,"Artist_henna_loubna🇲🇦
 @artist_henna_loubna",189.8K,0.29%,Morocco,,56.9K
candace,961,"candace
 @theblondemuslim",189.5K,0.84%,Morocco,Romance and Wedding,56.8K
Ghita Akesbi,962,"Ghita Akesbi
 @rita_trendy",189.4K,2.89%,Morocco,"Fashion and Accessories,  , family,  , Lifestyle",56.8K
oumaima ,963,"oumaima 🌍
 @xan_oumaimaaa",189K,6%,Morocco,Fashion and Accessories,56.7K
bimstoremaroc,964,"bimstoremaroc
 @bimmorocco",189K,1.49%,Morocco,,56.7K
Salwa,965,"Salwa
 @salwaaa8_officiel",188.8K,0.2%,Morocco,,56.6K
IDDER Makeup,966,"IDDER Makeup®
 @idder.makeup",188.7K,0.16%,Morocco,"Beauty and Self Care,  , Lifestyle",56.6K
Noureddine  (Food Addict),967,"Noureddine ™️ (Food Addict)
 @brad.food.journey",188.6K,0.1%,Morocco,Food,56.6K
Btissam Alami,968,"Btissam Alami
 @btissam_alamii",188.6K,0.2%,Morocco,,56.6K
zahouania_maroc,969,"zahouania_maroc
 @zahouania_maroc",188.1K,1.3%,Morocco,,56.4K
Moroccan Fame,970,"Moroccan Fame
 @moroccanfame",188K,1.12%,Morocco,Travel,56.4K
 rabab_ousaid | rabab_rb16 ,971,"💗 rabab_ousaid | rabab_rb16 💗
 @rrabab_rb16",187.5K,1.3%,Morocco,,56.3K
lalla_brwala,972,"lalla_brwala
 @lalla_brwala",187.5K,0.25%,Morocco,,56.2K
Salah.Salarex,973,"Salah.Salarex
 @salah_salarex",187.4K,0.98%,Morocco,"Entertainment and Music,  , Business and Finance",56.2K
The.Moroccan212,974,"The.Moroccan212
 @the.moroccan212",187.2K,0.4%,Morocco,,56.2K
OUSSAMA ETTAKI,975,"OUSSAMA ETTAKI
 @oussamajassamas",187.1K,0.44%,Morocco,"Acting and Drama,  , Modeling,  , Lifestyle",56.1K
Ghazal Channel,976,"Ghazal Channel
 @ghazal_channel",187K,1.29%,Morocco,"Education,  , Product Education,  , Food and Drink",56.1K
  /  ,977,"𝑨𝒃𝒅𝒐𝒖 𝒎𝒂𝒅𝒌𝒐𝒖𝒓 / عبدو مدكور
 @abdou_madkour",187K,15.51%,Morocco,Sports,56.1K
Sabri Ayoub ,978,"Sabri Ayoub 👀
 @sabri_ayoub__",186.8K,2.6%,Morocco,Entertainment and Music,56K
BY IMANE| CONTENT CREATOR,979,"BY IMANE| CONTENT CREATOR🪄
 @by_imane1",186.5K,4.03%,Morocco,Beauty and Self Care,56K
Adnane Amziane |officiel|   ,980,"Adnane Amziane |officiel| عدنان أمزيان 🎶🎤
 @adnane_amziane",186.4K,1.7%,Morocco,"Entertainment and Music,  , Upskilling,  , Music,  , Modeling",55.9K
Achraf.casawie.official,981,"Achraf.casawie.official
 @achraf.casawie.officiel",186.2K,3.27%,Morocco,,55.9K
Ghizlane Rahbany,982,"Ghizlane Rahbany
 @ghizlane.xo",186K,2.29%,Morocco,"Entertainment and Music,  , Celebrities,  , Design",55.8K
M. Bouzid - Official Account,983,"M. Bouzid - Official Account
 @bouzid.rs3",185.9K,9.98%,Morocco,Product Showcase,55.8K
DJ_maha,984,"DJ_maha
 @dj_mahaaa",185.6K,2.4%,Morocco,Entertainment and Music,55.7K
Faty & Jawad & julia ,985,"Faty & Jawad & julia 👨‍👩‍👧🧿
 @jawad.fati_lalla_l3rousa1",185.3K,1.2%,Morocco,"Romance and Wedding,  , family,  , Fashion and Accessories,  , Entertainment and Music",55.6K
  ,986,"تاويل مغربي 🇲🇦
 @tawil.marocaine",185.2K,0.4%,Morocco,"Arts and Crafts,  , Home and Garden",55.5K
Fatima zahrae jm,987,"Fatima zahrae jm
 @fvtijm",185.1K,1.47%,Morocco,"Fashion and Accessories,  , Parenting,  , Lifestyle,  , Modeling",55.5K
